VCD info: dumpfile alu.vcd opened for output.
tiempo=1960 A=1100 B=0100 c_in=0 L=0 OP=00 R=1100, Z=0, C=0, S=1. ---- OK
tiempo=1970 A=1100 B=0101 c_in=0 L=0 OP=00 R=1100, Z=0, C=0, S=1. ---- OK
tiempo=1980 A=1100 B=0110 c_in=0 L=0 OP=00 R=1100, Z=0, C=0, S=1. ---- OK
tiempo=1990 A=1100 B=0111 c_in=0 L=0 OP=00 R=1100, Z=0, C=0, S=1. ---- OK
tiempo=2000 A=1100 B=1000 c_in=0 L=0 OP=00 R=1100, Z=0, C=0, S=1. ---- OK
tiempo=2010 A=1100 B=1001 c_in=0 L=0 OP=00 R=1100, Z=0, C=0, S=1. ---- OK
tiempo=2020 A=1100 B=1010 c_in=0 L=0 OP=00 R=1100, Z=0, C=0, S=1. ---- OK
tiempo=2030 A=1100 B=1011 c_in=0 L=0 OP=00 R=1100, Z=0, C=0, S=1. ---- OK
tiempo=2040 A=1100 B=1100 c_in=0 L=0 OP=00 R=1100, Z=0, C=0, S=1. ---- OK
tiempo=2050 A=1100 B=1101 c_in=0 L=0 OP=00 R=1100, Z=0, C=0, S=1. ---- OK
tiempo=2060 A=1100 B=1110 c_in=0 L=0 OP=00 R=1100, Z=0, C=0, S=1. ---- OK
tiempo=2070 A=1100 B=1111 c_in=0 L=0 OP=00 R=1100, Z=0, C=0, S=1. ---- OK
tiempo=2080 A=1101 B=0000 c_in=0 L=0 OP=00 R=1101, Z=0, C=0, S=1. ---- OK
tiempo=2090 A=1101 B=0001 c_in=0 L=0 OP=00 R=1101, Z=0, C=0, S=1. ---- OK
tiempo=2100 A=1101 B=0010 c_in=0 L=0 OP=00 R=1101, Z=0, C=0, S=1. ---- OK
tiempo=2110 A=1101 B=0011 c_in=0 L=0 OP=00 R=1101, Z=0, C=0, S=1. ---- OK
tiempo=2120 A=1101 B=0100 c_in=0 L=0 OP=00 R=1101, Z=0, C=0, S=1. ---- OK
tiempo=2130 A=1101 B=0101 c_in=0 L=0 OP=00 R=1101, Z=0, C=0, S=1. ---- OK
tiempo=2140 A=1101 B=0110 c_in=0 L=0 OP=00 R=1101, Z=0, C=0, S=1. ---- OK
tiempo=2150 A=1101 B=0111 c_in=0 L=0 OP=00 R=1101, Z=0, C=0, S=1. ---- OK
tiempo=2160 A=1101 B=1000 c_in=0 L=0 OP=00 R=1101, Z=0, C=0, S=1. ---- OK
tiempo=2170 A=1101 B=1001 c_in=0 L=0 OP=00 R=1101, Z=0, C=0, S=1. ---- OK
tiempo=2180 A=1101 B=1010 c_in=0 L=0 OP=00 R=1101, Z=0, C=0, S=1. ---- OK
